epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,937.936,1.43958,0.73801,1.47684,0.91723,0.92123,0.9647,0.55139,1.51336,0.63579,1.73016,0.0011684,0.0011684,0.0011684
44,959.152,1.46727,0.72808,1.48599,0.89001,0.91448,0.96758,0.55297,1.5568,0.63245,1.75721,0.0011486,0.0011486,0.0011486
45,980.514,1.43899,0.72532,1.46724,0.90842,0.92466,0.97486,0.55788,1.53849,0.60073,1.74542,0.0011288,0.0011288,0.0011288
46,1001.68,1.46341,0.73873,1.4574,0.92549,0.89335,0.97364,0.56461,1.50345,0.62939,1.71318,0.001109,0.001109,0.001109
47,1022.91,1.43672,0.72709,1.46417,0.91023,0.93757,0.97484,0.55905,1.53795,0.61185,1.74175,0.0010892,0.0010892,0.0010892
48,1044.06,1.45469,0.72961,1.47748,0.91293,0.9336,0.97468,0.56314,1.51638,0.60789,1.71619,0.0010694,0.0010694,0.0010694
49,1065.23,1.49037,0.73771,1.4799,0.89834,0.93493,0.97289,0.53863,1.57762,0.62497,1.75199,0.0010496,0.0010496,0.0010496
50,1086.41,1.44113,0.7227,1.46569,0.92022,0.92466,0.97848,0.56258,1.52033,0.59685,1.71767,0.0010298,0.0010298,0.0010298
51,1109,1.44881,0.70007,1.47288,0.93264,0.9009,0.97317,0.55215,1.5277,0.61815,1.71715,0.00101,0.00101,0.00101
52,1132.16,1.45756,0.72546,1.50119,0.94315,0.90901,0.97871,0.56727,1.48072,0.60128,1.69573,0.0009902,0.0009902,0.0009902
53,1156.75,1.45,0.70959,1.46508,0.88032,0.95722,0.97267,0.55891,1.5188,0.57696,1.71563,0.0009704,0.0009704,0.0009704
54,1180.29,1.44803,0.72925,1.48966,0.89691,0.95347,0.97435,0.55397,1.56611,0.57832,1.7555,0.0009506,0.0009506,0.0009506
55,1204.08,1.41404,0.69688,1.44551,0.91613,0.92808,0.97777,0.55538,1.56209,0.60667,1.76239,0.0009308,0.0009308,0.0009308
56,1226.81,1.42797,0.71122,1.45948,0.92578,0.93977,0.97996,0.55784,1.52995,0.60228,1.72711,0.000911,0.000911,0.000911
57,1248.95,1.43663,0.71152,1.46414,0.92973,0.90618,0.97502,0.53414,1.59247,0.62444,1.77015,0.0008912,0.0008912,0.0008912
58,1271.19,1.43823,0.71662,1.46196,0.90399,0.94863,0.9802,0.56303,1.52076,0.58609,1.70973,0.0008714,0.0008714,0.0008714
59,1293.36,1.43325,0.7155,1.47469,0.88479,0.94687,0.97689,0.56857,1.545,0.60258,1.74669,0.0008516,0.0008516,0.0008516
60,1315.43,1.41612,0.68525,1.47169,0.92462,0.92411,0.97414,0.57104,1.51058,0.59997,1.71992,0.0008318,0.0008318,0.0008318
61,1337.45,1.44255,0.70459,1.47119,0.92855,0.89041,0.97089,0.54562,1.56741,0.60127,1.75929,0.000812,0.000812,0.000812
62,1359.24,1.3966,0.68318,1.43884,0.91164,0.92123,0.97224,0.56221,1.52174,0.5787,1.72924,0.0007922,0.0007922,0.0007922
63,1381.13,1.41361,0.67808,1.42966,0.93948,0.90373,0.97761,0.56734,1.54659,0.57425,1.74115,0.0007724,0.0007724,0.0007724
64,1402.92,1.44199,0.71166,1.47188,0.92807,0.91438,0.97507,0.56028,1.4955,0.59936,1.71009,0.0007526,0.0007526,0.0007526
65,1424.74,1.40535,0.68117,1.44275,0.89988,0.95419,0.97326,0.57355,1.52888,0.57424,1.73612,0.0007328,0.0007328,0.0007328
66,1446.63,1.40706,0.70265,1.43539,0.92043,0.93836,0.97549,0.56711,1.52072,0.56501,1.7214,0.000713,0.000713,0.000713
67,1468.43,1.39057,0.66689,1.43749,0.9081,0.94752,0.97591,0.56473,1.52199,0.5588,1.72389,0.0006932,0.0006932,0.0006932
68,1490.27,1.40248,0.69184,1.44514,0.92752,0.92034,0.97736,0.56972,1.51492,0.59723,1.7137,0.0006734,0.0006734,0.0006734
69,1512.34,1.38944,0.68616,1.45974,0.89985,0.94863,0.97609,0.57379,1.50496,0.57881,1.70546,0.0006536,0.0006536,0.0006536
70,1534.78,1.41788,0.70695,1.44835,0.91313,0.92466,0.97277,0.56911,1.5169,0.59416,1.72334,0.0006338,0.0006338,0.0006338
71,1557.46,1.39003,0.68508,1.44436,0.94276,0.90254,0.97334,0.56674,1.50137,0.57316,1.70474,0.000614,0.000614,0.000614
72,1578.39,1.4253,0.67848,1.44443,0.94345,0.91423,0.97381,0.5715,1.50035,0.55807,1.71529,0.0005942,0.0005942,0.0005942
73,1599.44,1.38977,0.6805,1.4418,0.94026,0.92466,0.97768,0.56306,1.53251,0.57182,1.72579,0.0005744,0.0005744,0.0005744
74,1620.41,1.40891,0.67022,1.44604,0.94375,0.91935,0.97876,0.57678,1.51956,0.56469,1.72135,0.0005546,0.0005546,0.0005546
75,1641.48,1.39723,0.66083,1.45628,0.94045,0.93493,0.98118,0.5763,1.50032,0.57465,1.7046,0.0005348,0.0005348,0.0005348
76,1662.63,1.37771,0.66048,1.40382,0.92906,0.93493,0.97367,0.5688,1.50955,0.56819,1.71496,0.000515,0.000515,0.000515
77,1683.6,1.40845,0.67447,1.44827,0.91079,0.93836,0.97829,0.56792,1.50048,0.56018,1.71273,0.0004952,0.0004952,0.0004952
78,1704.91,1.3997,0.67073,1.45166,0.92776,0.92359,0.9781,0.57596,1.49344,0.55607,1.70281,0.0004754,0.0004754,0.0004754
79,1727.61,1.41944,0.68056,1.46141,0.89491,0.95548,0.97645,0.56994,1.53516,0.55763,1.73394,0.0004556,0.0004556,0.0004556
80,1751.36,1.37037,0.64653,1.4169,0.89687,0.95301,0.97817,0.57308,1.50289,0.56172,1.70547,0.0004358,0.0004358,0.0004358
81,1775.63,1.35384,0.6359,1.41443,0.93059,0.90411,0.9773,0.56814,1.50407,0.55863,1.71853,0.000416,0.000416,0.000416
82,1799.28,1.40249,0.65126,1.44135,0.93841,0.90753,0.97879,0.56403,1.55049,0.56026,1.75404,0.0003962,0.0003962,0.0003962
83,1822.66,1.37173,0.65006,1.42489,0.93216,0.94119,0.97304,0.56725,1.51671,0.56004,1.72221,0.0003764,0.0003764,0.0003764
84,1845.9,1.36856,0.64136,1.42456,0.90911,0.95917,0.97651,0.57426,1.4963,0.54518,1.70462,0.0003566,0.0003566,0.0003566
85,1869.13,1.35713,0.64808,1.40947,0.89629,0.94706,0.97327,0.56964,1.50026,0.55665,1.70888,0.0003368,0.0003368,0.0003368
86,1892.13,1.3781,0.6454,1.42708,0.90756,0.94141,0.9713,0.56744,1.49258,0.54846,1.70388,0.000317,0.000317,0.000317
87,1916.54,1.37451,0.67288,1.44283,0.89824,0.95205,0.97172,0.55035,1.54773,0.55755,1.75221,0.0002972,0.0002972,0.0002972
88,1941.84,1.36451,0.64514,1.41639,0.9162,0.93151,0.97562,0.57104,1.49509,0.55439,1.70583,0.0002774,0.0002774,0.0002774
89,1965.47,1.34407,0.64315,1.42208,0.90142,0.93942,0.97594,0.57684,1.49475,0.56194,1.69906,0.0002576,0.0002576,0.0002576
90,1989.57,1.36214,0.64007,1.39772,0.91597,0.93327,0.97561,0.57497,1.50337,0.56972,1.71397,0.0002378,0.0002378,0.0002378
